timestamp,timeIntervalSince1970,x,y,z
"2020-05-05 15:06:34.242 +0000",1588691194.242386,-0.184601,-0.261841,-0.932755
"2020-05-05 15:06:34.252 +0000",1588691194.252365,-0.165588,-0.259155,-0.947006
"2020-05-05 15:06:34.262 +0000",1588691194.262375,-0.168777,-0.289719,-0.944870
"2020-05-05 15:06:34.272 +0000",1588691194.272354,-0.199295,-0.318283,-0.924759
"2020-05-05 15:06:34.282 +0000",1588691194.282364,-0.231110,-0.308167,-0.900116
"2020-05-05 15:06:34.292 +0000",1588691194.292346,-0.236313,-0.272476,-0.893692
"2020-05-05 15:06:34.302 +0000",1588691194.302354,-0.231506,-0.264328,-0.902756
"2020-05-05 15:06:34.312 +0000",1588691194.312333,-0.225693,-0.271957,-0.921951
"2020-05-05 15:06:34.322 +0000",1588691194.322312,-0.223557,-0.280502,-0.934418
"2020-05-05 15:06:34.332 +0000",1588691194.332322,-0.227142,-0.287186,-0.931152
"2020-05-05 15:06:34.342 +0000",1588691194.342300,-0.228821,-0.293930,-0.913544
"2020-05-05 15:06:34.352 +0000",1588691194.352309,-0.221527,-0.298828,-0.902405
"2020-05-05 15:06:34.362 +0000",1588691194.362290,-0.210159,-0.296982,-0.907333
"2020-05-05 15:06:34.372 +0000",1588691194.372299,-0.204849,-0.296082,-0.919525
"2020-05-05 15:06:34.382 +0000",1588691194.382278,-0.208771,-0.300461,-0.926407
"2020-05-05 15:06:34.392 +0000",1588691194.392288,-0.217834,-0.304565,-0.924423
"2020-05-05 15:06:34.402 +0000",1588691194.402267,-0.230988,-0.303299,-0.917282
"2020-05-05 15:06:34.412 +0000",1588691194.412277,-0.246429,-0.296158,-0.909378
"2020-05-05 15:06:34.422 +0000",1588691194.422256,-0.263153,-0.287247,-0.908020
"2020-05-05 15:06:34.432 +0000",1588691194.432266,-0.278870,-0.276520,-0.910553
"2020-05-05 15:06:34.442 +0000",1588691194.442245,-0.289963,-0.267441,-0.915054
"2020-05-05 15:06:34.452 +0000",1588691194.452223,-0.295151,-0.264572,-0.915680
"2020-05-05 15:06:34.462 +0000",1588691194.462234,-0.298340,-0.269943,-0.912811
"2020-05-05 15:06:34.472 +0000",1588691194.472212,-0.288849,-0.281006,-0.907120
"2020-05-05 15:06:34.482 +0000",1588691194.482222,-0.268936,-0.293106,-0.895432
"2020-05-05 15:06:34.492 +0000",1588691194.492201,-0.252609,-0.298752,-0.885468
