timestamp,timeIntervalSince1970,x,y,z
"2020-04-27 10:05:50.481 +0000",1587981950.480525,-0.543732,0.610168,-0.556763
"2020-04-27 10:05:50.491 +0000",1587981950.490505,-0.547394,0.588852,-0.555099
"2020-04-27 10:05:50.501 +0000",1587981950.500515,-0.555862,0.575607,-0.550323
"2020-04-27 10:05:50.510 +0000",1587981950.510494,-0.562057,0.577423,-0.543625
"2020-04-27 10:05:50.520 +0000",1587981950.520473,-0.567688,0.585922,-0.537949
"2020-04-27 10:05:50.530 +0000",1587981950.530482,-0.577255,0.596237,-0.533005
"2020-04-27 10:05:50.540 +0000",1587981950.540461,-0.584366,0.604279,-0.528458
"2020-04-27 10:05:50.550 +0000",1587981950.550471,-0.590363,0.605835,-0.526978
"2020-04-27 10:05:50.560 +0000",1587981950.560451,-0.594116,0.608536,-0.532318
"2020-04-27 10:05:50.570 +0000",1587981950.570460,-0.587601,0.612442,-0.535660
"2020-04-27 10:05:50.580 +0000",1587981950.580440,-0.578171,0.609543,-0.540131
"2020-04-27 10:05:50.590 +0000",1587981950.590448,-0.568695,0.608261,-0.549316
"2020-04-27 10:05:50.600 +0000",1587981950.600428,-0.562439,0.606339,-0.556000
"2020-04-27 10:05:50.610 +0000",1587981950.610436,-0.562057,0.604309,-0.559082
"2020-04-27 10:05:50.620 +0000",1587981950.620417,-0.565887,0.603302,-0.558380
"2020-04-27 10:05:50.630 +0000",1587981950.630397,-0.566742,0.603500,-0.552414
"2020-04-27 10:05:50.640 +0000",1587981950.640405,-0.567581,0.605865,-0.546387
"2020-04-27 10:05:50.650 +0000",1587981950.650384,-0.569641,0.608444,-0.545044
"2020-04-27 10:05:50.660 +0000",1587981950.660395,-0.571350,0.609299,-0.544296
"2020-04-27 10:05:50.670 +0000",1587981950.670374,-0.574188,0.606644,-0.542603
"2020-04-27 10:05:50.680 +0000",1587981950.680383,-0.574402,0.602234,-0.540115
"2020-04-27 10:05:50.690 +0000",1587981950.690361,-0.572571,0.595749,-0.539688
"2020-04-27 10:05:50.700 +0000",1587981950.700372,-0.569763,0.591843,-0.541824
"2020-04-27 10:05:50.710 +0000",1587981950.710353,-0.567261,0.592026,-0.544464
"2020-04-27 10:05:50.720 +0000",1587981950.720361,-0.564041,0.597427,-0.548965
"2020-04-27 10:05:50.730 +0000",1587981950.730340,-0.564453,0.609329,-0.553818
"2020-04-27 10:05:50.740 +0000",1587981950.740318,-0.562332,0.619095,-0.555542
"2020-04-27 10:05:50.750 +0000",1587981950.750329,-0.560043,0.618073,-0.554230
"2020-04-27 10:05:50.760 +0000",1587981950.760308,-0.559601,0.610474,-0.552902
"2020-04-27 10:05:50.770 +0000",1587981950.770316,-0.563416,0.601196,-0.551437
"2020-04-27 10:05:50.780 +0000",1587981950.780296,-0.568405,0.593155,-0.547302
"2020-04-27 10:05:50.790 +0000",1587981950.790306,-0.572159,0.588974,-0.538864
"2020-04-27 10:05:50.800 +0000",1587981950.800285,-0.576111,0.589600,-0.533264
"2020-04-27 10:05:50.810 +0000",1587981950.810295,-0.578491,0.591766,-0.534714
"2020-04-27 10:05:50.820 +0000",1587981950.820274,-0.577866,0.597427,-0.537430
"2020-04-27 10:05:50.830 +0000",1587981950.830284,-0.572449,0.603409,-0.538940
"2020-04-27 10:05:50.840 +0000",1587981950.840262,-0.562607,0.604584,-0.536911
"2020-04-27 10:05:50.850 +0000",1587981950.850241,-0.556015,0.603012,-0.538391
"2020-04-27 10:05:50.860 +0000",1587981950.860250,-0.553558,0.598404,-0.541611
"2020-04-27 10:05:50.870 +0000",1587981950.870230,-0.553375,0.591171,-0.541809
"2020-04-27 10:05:50.880 +0000",1587981950.880239,-0.556656,0.586502,-0.542557
"2020-04-27 10:05:50.890 +0000",1587981950.890226,-0.560394,0.585266,-0.542938
"2020-04-27 10:05:50.900 +0000",1587981950.900228,-0.561462,0.587357,-0.544296
"2020-04-27 10:05:50.910 +0000",1587981950.910206,-0.560074,0.592926,-0.544296
"2020-04-27 10:05:50.920 +0000",1587981950.920218,-0.557465,0.595566,-0.543060
"2020-04-27 10:05:50.930 +0000",1587981950.930195,-0.555481,0.593552,-0.541092
"2020-04-27 10:05:50.940 +0000",1587981950.940205,-0.557541,0.590240,-0.539459
"2020-04-27 10:05:50.950 +0000",1587981950.950185,-0.561478,0.584488,-0.536148
"2020-04-27 10:05:50.960 +0000",1587981950.960164,-0.565262,0.578568,-0.532150
"2020-04-27 10:05:50.970 +0000",1587981950.970174,-0.566650,0.578583,-0.533340
"2020-04-27 10:05:50.980 +0000",1587981950.980153,-0.564896,0.581116,-0.533264
"2020-04-27 10:05:50.990 +0000",1587981950.990162,-0.559540,0.582077,-0.533417
"2020-04-27 10:05:51.000 +0000",1587981951.000142,-0.555023,0.580917,-0.535156
"2020-04-27 10:05:51.010 +0000",1587981951.010151,-0.550583,0.579315,-0.535858
"2020-04-27 10:05:51.020 +0000",1587981951.020130,-0.547516,0.577438,-0.532608
"2020-04-27 10:05:51.030 +0000",1587981951.030140,-0.545807,0.573654,-0.527237
"2020-04-27 10:05:51.040 +0000",1587981951.040118,-0.545914,0.570694,-0.519653
"2020-04-27 10:05:51.050 +0000",1587981951.050129,-0.547104,0.566650,-0.512115
"2020-04-27 10:05:51.060 +0000",1587981951.060107,-0.549118,0.564972,-0.507065
"2020-04-27 10:05:51.070 +0000",1587981951.070086,-0.547424,0.566223,-0.504944
"2020-04-27 10:05:51.080 +0000",1587981951.080096,-0.542999,0.569916,-0.500626
"2020-04-27 10:05:51.090 +0000",1587981951.090075,-0.534317,0.572922,-0.493271
"2020-04-27 10:05:51.100 +0000",1587981951.100085,-0.525406,0.572540,-0.488480
"2020-04-27 10:05:51.110 +0000",1587981951.110064,-0.521133,0.566681,-0.486313
"2020-04-27 10:05:51.120 +0000",1587981951.120074,-0.521439,0.565430,-0.485916
"2020-04-27 10:05:51.130 +0000",1587981951.130052,-0.525604,0.573166,-0.487442
"2020-04-27 10:05:51.140 +0000",1587981951.140063,-0.529526,0.587708,-0.485504
"2020-04-27 10:05:51.150 +0000",1587981951.150041,-0.530930,0.601181,-0.479294
"2020-04-27 10:05:51.160 +0000",1587981951.160051,-0.532150,0.610718,-0.469376
"2020-04-27 10:05:51.170 +0000",1587981951.170030,-0.530975,0.613678,-0.457947
"2020-04-27 10:05:51.180 +0000",1587981951.180008,-0.531555,0.611008,-0.450821
"2020-04-27 10:05:51.190 +0000",1587981951.190019,-0.534073,0.603256,-0.443039
"2020-04-27 10:05:51.200 +0000",1587981951.199998,-0.530380,0.591949,-0.432892
"2020-04-27 10:05:51.210 +0000",1587981951.210007,-0.520035,0.580933,-0.423996
"2020-04-27 10:05:51.220 +0000",1587981951.219987,-0.507462,0.575699,-0.421631
"2020-04-27 10:05:51.230 +0000",1587981951.229996,-0.493835,0.577988,-0.420670
"2020-04-27 10:05:51.240 +0000",1587981951.239975,-0.479202,0.587769,-0.416595
"2020-04-27 10:05:51.250 +0000",1587981951.249985,-0.468140,0.604492,-0.417221
"2020-04-27 10:05:51.260 +0000",1587981951.259964,-0.461502,0.623734,-0.415405
"2020-04-27 10:05:51.270 +0000",1587981951.269974,-0.455917,0.637909,-0.405197
"2020-04-27 10:05:51.280 +0000",1587981951.279953,-0.452942,0.641693,-0.392349
"2020-04-27 10:05:51.290 +0000",1587981951.289932,-0.447998,0.634613,-0.378433
"2020-04-27 10:05:51.300 +0000",1587981951.299941,-0.445221,0.621384,-0.368896
"2020-04-27 10:05:51.310 +0000",1587981951.309922,-0.439209,0.605743,-0.360992
"2020-04-27 10:05:51.320 +0000",1587981951.319931,-0.427307,0.592300,-0.352783
"2020-04-27 10:05:51.330 +0000",1587981951.329910,-0.411682,0.575867,-0.341080
"2020-04-27 10:05:51.340 +0000",1587981951.339920,-0.389252,0.557907,-0.326157
"2020-04-27 10:05:51.350 +0000",1587981951.349899,-0.360321,0.553497,-0.310272
"2020-04-27 10:05:51.360 +0000",1587981951.359909,-0.334442,0.569656,-0.299622
"2020-04-27 10:05:51.370 +0000",1587981951.369887,-0.316757,0.596329,-0.288788
"2020-04-27 10:05:51.380 +0000",1587981951.379897,-0.306030,0.626099,-0.272690
"2020-04-27 10:05:51.390 +0000",1587981951.389869,-0.308228,0.655640,-0.259232
"2020-04-27 10:05:51.400 +0000",1587981951.399879,-0.315399,0.677933,-0.247345
"2020-04-27 10:05:51.410 +0000",1587981951.409858,-0.318359,0.689774,-0.235672
"2020-04-27 10:05:51.420 +0000",1587981951.419836,-0.317993,0.693756,-0.230972
"2020-04-27 10:05:51.430 +0000",1587981951.429847,-0.308960,0.699326,-0.232391
"2020-04-27 10:05:51.440 +0000",1587981951.439825,-0.291794,0.716156,-0.226730
"2020-04-27 10:05:51.450 +0000",1587981951.449835,-0.270050,0.746231,-0.216034
"2020-04-27 10:05:51.460 +0000",1587981951.459814,-0.251083,0.783234,-0.207336
"2020-04-27 10:05:51.470 +0000",1587981951.469824,-0.243210,0.817245,-0.202454
"2020-04-27 10:05:51.480 +0000",1587981951.479803,-0.248627,0.839218,-0.208801
"2020-04-27 10:05:51.490 +0000",1587981951.489813,-0.264160,0.847534,-0.226120
"2020-04-27 10:05:51.500 +0000",1587981951.499792,-0.275879,0.844193,-0.241745
"2020-04-27 10:05:51.510 +0000",1587981951.509802,-0.278442,0.836655,-0.250366
"2020-04-27 10:05:51.520 +0000",1587981951.519780,-0.273621,0.828384,-0.244064
"2020-04-27 10:05:51.530 +0000",1587981951.529760,-0.262955,0.823654,-0.225922
"2020-04-27 10:05:51.540 +0000",1587981951.539770,-0.259827,0.836517,-0.210632
"2020-04-27 10:05:51.550 +0000",1587981951.549748,-0.271484,0.861176,-0.201645
"2020-04-27 10:05:51.560 +0000",1587981951.559758,-0.292236,0.891678,-0.198853
"2020-04-27 10:05:51.570 +0000",1587981951.569737,-0.315292,0.925842,-0.205460
"2020-04-27 10:05:51.580 +0000",1587981951.579747,-0.335815,0.951096,-0.210297
"2020-04-27 10:05:51.590 +0000",1587981951.589725,-0.348663,0.960251,-0.199692
"2020-04-27 10:05:51.600 +0000",1587981951.599736,-0.340271,0.956436,-0.180496
"2020-04-27 10:05:51.610 +0000",1587981951.609715,-0.314865,0.944260,-0.159805
"2020-04-27 10:05:51.620 +0000",1587981951.619725,-0.282333,0.927444,-0.140396
"2020-04-27 10:05:51.630 +0000",1587981951.629704,-0.247208,0.908127,-0.123154
"2020-04-27 10:05:51.640 +0000",1587981951.639683,-0.213470,0.887741,-0.099258
"2020-04-27 10:05:51.650 +0000",1587981951.649693,-0.185059,0.877151,-0.078735
"2020-04-27 10:05:51.660 +0000",1587981951.659672,-0.165939,0.880615,-0.070999
"2020-04-27 10:05:51.670 +0000",1587981951.669682,-0.150711,0.886673,-0.070938
"2020-04-27 10:05:51.680 +0000",1587981951.679662,-0.129517,0.893311,-0.074860
"2020-04-27 10:05:51.690 +0000",1587981951.689670,-0.102158,0.894638,-0.074066
"2020-04-27 10:05:51.700 +0000",1587981951.699650,-0.072128,0.891129,-0.063766
"2020-04-27 10:05:51.710 +0000",1587981951.709659,-0.050156,0.892700,-0.057236
"2020-04-27 10:05:51.720 +0000",1587981951.719639,-0.045349,0.900223,-0.051376
"2020-04-27 10:05:51.730 +0000",1587981951.729648,-0.052109,0.916702,-0.036407
"2020-04-27 10:05:51.740 +0000",1587981951.739628,-0.063202,0.944138,-0.023254
"2020-04-27 10:05:51.750 +0000",1587981951.749606,-0.079910,0.975510,-0.016708
